"","target","Item Difficulty","Discrimination","Standard Error","Information-Weighted Mean Square","Information-Weighted Z","Outlier-Sensitive Mean Square","Outlier-Sensitive Z","Log10 Contextual Diversity","Age of Acquisition","Number of Phonemes","slide_num"
"1","ambulance",0.772,1.258,0.129,1.15,2.07,1.44,1.65,2.862,6.16,9,67
"2","anchor",0.118,1.258,0.127,1.08,1.16,1.02,0.19,2.276,5.72,5,106
"3","apple",-1.462,1.258,0.158,0.89,-0.93,0.68,-1.15,2.839,4.15,4,29
"4","baby",-1.72,1.258,0.166,1.22,1.63,1.54,1.5,3.707,3.84,4,134
"5","ball",-1.433,1.258,0.157,1.19,1.53,1.37,1.26,3.316,2.9,3,80
"6","balloon",-1.23,1.258,0.15,1.01,0.15,0.96,-0.06,2.418,4.37,5,52
"7","banana",-1.148,1.258,0.148,1.02,0.26,1.01,0.12,2.513,3.78,6,44
"8","basket",-0.914,1.258,0.142,0.89,-1.12,0.82,-0.84,2.632,5.67,6,112
"9","bat",-0.54,1.258,0.134,1.15,1.64,1.22,1.16,2.75,4.85,3,135
"10","beard",0.137,1.258,0.127,1.16,2.09,1.17,0.89,2.602,4.84,4,83
"11","bed",-1.687,1.258,0.165,0.96,-0.26,0.63,-1.2,3.614,2.89,3,183
"12","bell",-0.89,1.258,0.142,1.05,0.52,0.96,-0.12,3.015,3.89,3,158
"13","belt",-0.841,1.258,0.14,0.79,-2.29,0.61,-2.17,2.924,4.62,4,97
"14","bench",0.137,1.258,0.127,1.01,0.11,0.94,-0.24,2.535,4.21,4,151
"15","binoculars",1.029,1.258,0.133,0.96,-0.52,0.75,-0.89,1.845,6.79,11,145
"16","bone",-1.463,1.258,0.158,1.09,0.73,0.88,-0.35,2.932,5.53,3,121
"17","book",-1.525,1.258,0.16,1.16,1.28,1.87,2.42,3.511,3.68,3,70
"18","boot",-0.325,1.258,0.131,1.15,1.79,1.19,1.07,2.574,3.89,3,41
"19","bottle",-0.201,1.258,0.13,1.13,1.59,1.21,1.13,3.194,3.56,5,78
"20","bowl",0.059,1.258,0.128,1.24,3.1,1.63,2.83,2.834,4.26,3,75
"21","bread",-1.068,1.258,0.146,1.03,0.28,0.99,0.02,2.956,3.58,4,26
"22","bride",0.098,1.258,0.127,1.19,2.44,1.46,2.11,2.806,5.1,4,173
"23","bridge",-0.475,1.258,0.133,0.8,-2.45,0.71,-1.69,3.02,5.58,4,61
"24","broom",-0.283,1.258,0.131,1.08,0.98,1.11,0.67,2.255,5.5,4,185
"25","bus",-0.89,1.258,0.142,1.1,1.05,1.16,0.8,3.189,3.85,3,71
"26","butterfly",0.157,1.258,0.127,0.8,-2.94,0.64,-2.01,2.272,3.67,8,174
