"","mean","sd"
"theta[1]",0.445685299788821,0.124445927927729
"theta[2]",-0.648564400249393,0.108821939250098
"theta[3]",1.16935508748601,0.176728182735237
"theta[4]",0.383964595808628,0.119412409977466
"theta[5]",0.312672371799026,0.119964750262021
"theta[6]",0.349401679295356,0.117810181257978
"theta[7]",0.173697973156745,0.112607102747207
"theta[8]",-0.670414193679358,0.111818592516194
"theta[9]",0.58851567578791,0.132106624910784
"theta[10]",1.03974447430397,0.163959590896665
"theta[11]",0.506884678532681,0.125335871328447
"theta[12]",-0.120678393162643,0.107757330232745
"theta[13]",0.765874932919747,0.141327355147215
"theta[14]",0.056321775466365,0.110621351828441
"theta[15]",0.861265621408972,0.146372328945596
"theta[16]",1.4542880815039,0.203784127895036
"theta[17]",-0.150306315884689,0.106733972761232
"theta[18]",-0.997151595301064,0.116012953935517
"theta[19]",-0.242419357059754,0.103877574556066
"theta[20]",0.322565657694341,0.115227363839642
"theta[21]",0.266144059463047,0.118868983287345
"theta[22]",0.145810165476345,0.112998687538362
"theta[23]",-0.64335388832338,0.108587966071717
"theta[24]",1.12416115316323,0.170925587914726
"theta[25]",-2.42284592077715,0.25206166837989
"theta[26]",1.21711373139229,0.180792380658777
"theta[27]",-0.522517354019375,0.108541129093621
"theta[28]",0.109121350182519,0.112043372542008
"theta[29]",-0.25394191426761,0.110737951903104
"theta[30]",-1.68949213863037,0.163466651604636
"theta[31]",-1.5074498212661,0.141853490835143
"theta[32]",0.104116099867156,0.111580115651437
"theta[33]",-1.79543725938681,0.170977981435035
"theta[34]",-0.595924296529703,0.108766177314466
"theta[35]",-0.797340748763055,0.111799975405485
"theta[36]",-0.194846103682457,0.1066422897511
"theta[37]",-0.436686760325616,0.105573124951375
"theta[38]",-2.33981172694058,0.239834026647142
"theta[39]",0.710702070256695,0.136951348934544
"theta[40]",0.34785489745036,0.117715553104233
"theta[41]",-0.997759740425617,0.116107111434303
"theta[42]",0.532573437962068,0.131403672957989
"theta[43]",-0.313739236029911,0.105592961653257
"theta[44]",-0.863013734038487,0.118471955011377
"theta[45]",-0.241302531626831,0.105968607636088
"theta[46]",0.633659654485506,0.131719824366732
"theta[47]",-1.27058011919305,0.131022449530722
"theta[48]",1.26667295768966,0.188488354172703
"theta[49]",0.320811425575297,0.1163933878501
"theta[50]",-0.0701705410135189,0.107824270950899
"theta[51]",-0.254998818856398,0.104998041113507
"theta[52]",-1.00738905286408,0.121125379218803
"theta[53]",-0.274210210126791,0.108796438564905
"theta[54]",-1.87936058993652,0.174296475706751
"theta[55]",-1.65628310507734,0.160731034315676
"theta[56]",-0.657558310549108,0.110963295395144
"theta[57]",-1.56618728223022,0.152418503181332
"theta[58]",0.652267760453674,0.134719993744637
"theta[59]",0.122809291483702,0.111860581211078
"theta[60]",-0.358882017500235,0.106245771222133
"theta[61]",1.07939023328255,0.166847121515607
"theta[62]",-1.4842366635182,0.141765863377806
"theta[63]",0.767890782422922,0.141348552122653
"theta[64]",-2.41463106328034,0.245035037396739
"theta[65]",1.21516276982567,0.182234148480784
"theta[66]",1.21499310781412,0.176577374942501
"theta[67]",0.510693926492257,0.125022881260699
"theta[68]",1.94361336921601,0.287737257082158
"theta[69]",-0.312899609524255,0.104493785025942
"theta[70]",-0.168085886241049,0.10676972419505
"theta[71]",-0.0394818006314756,0.109663284856909
"theta[72]",1.32745506029035,0.194707656327799
"theta[73]",0.120304799860308,0.110842915384046
"theta[74]",-2.33824133695517,0.226824419164705
"theta[75]",0.076986262399647,0.110313013202163
"theta[76]",-0.661192054418674,0.11005915568172
"theta[77]",0.923162697749078,0.15659268826615
"theta[78]",-1.03365599036432,0.121854647480228
"theta[79]",-0.272440003646006,0.105847330076345
"theta[80]",-0.041609919044898,0.107008053766948
"theta[81]",0.382376079359392,0.121154166283485
"theta[82]",0.215149017522659,0.112726990337094
"theta[83]",-0.086736394486325,0.105491585478051
"theta[84]",-0.303442608179098,0.109328929205258
"theta[85]",-1.87411295654972,0.176176730271918
"theta[86]",0.690222236682027,0.13718133454095
"theta[87]",0.345720267623773,0.122705158205825
"theta[88]",0.686773463356724,0.137185400258779
"theta[89]",0.760778960221925,0.138682551125657
"theta[90]",0.926348091639092,0.154645953587075
"theta[91]",-0.507396097275284,0.10830737526374
"theta[92]",-0.721238223554841,0.11125747225282
"theta[93]",-0.507089799192125,0.108391724425483
"theta[94]",-0.197700490685779,0.106682057548882
"theta[95]",0.16010055058426,0.11366288668481
"theta[96]",0.357861411134132,0.118055072643937
"theta[97]",-1.37456385957418,0.137520103174098
"theta[98]",-1.53603737907757,0.147641734538818
"theta[99]",1.08506954429069,0.164506129740574
"theta[100]",-0.433312951678752,0.105556554009966
"theta[101]",-0.0877415742770455,0.10639166877951
"theta[102]",0.443046898702413,0.120721167855014
"theta[103]",0.465821973139393,0.120381805818095
"theta[104]",-0.704754580561578,0.109383820237315
"theta[105]",-1.4825564450061,0.147044923890302
"theta[106]",0.797333057602372,0.145488437126691
"theta[107]",0.228292682032658,0.115751789127231
"theta[108]",0.682028147451936,0.138843497983882
"theta[109]",0.53449239553953,0.133044520868571
"theta[110]",0.58490015573961,0.130342406110592
"theta[111]",-0.2098130553384,0.106401998499311
"theta[112]",-0.271341292182452,0.10412536405438
"theta[113]",1.32633824616156,0.19322388035837
"theta[114]",0.993335117691999,0.162316571502777
"theta[115]",-0.0714076864301802,0.107726142219765
"theta[116]",-0.602473589198752,0.108926578410977
"theta[117]",0.0680832883813557,0.110872813156362
"theta[118]",-0.567682146407968,0.107205687681885
"theta[119]",-1.10932562426672,0.121978540685096
"theta[120]",0.283172092669273,0.117140763628914
"theta[121]",0.827249248167806,0.147684386564742
"theta[122]",-0.0917777830214684,0.107360765918079
"theta[123]",-1.92091249534579,0.186366699326821
"theta[124]",0.424746999374535,0.120153606762012
"theta[125]",0.535373488874483,0.131085388901808
"theta[126]",-0.198717339251192,0.106038079882157
"theta[127]",-0.465211329353006,0.110310655173508
"theta[128]",-0.361865413981767,0.104728736320323
"theta[129]",0.513302877485893,0.124640087302354
"theta[130]",-2.18847803433623,0.216601972361587
"theta[131]",-0.346167870746554,0.106170855788648
"theta[132]",-0.656095998298396,0.108049935010402
"theta[133]",0.894364754144834,0.152563962470154
"theta[134]",-0.478154065921782,0.108533559796635
"theta[135]",1.69679453781813,0.249670543545953
"theta[136]",0.282867997378588,0.118154831598039
"theta[137]",-0.979925406274198,0.119911738226654
"theta[138]",0.152412613345328,0.110381812796837
"theta[139]",0.489869194199942,0.124921399745405
"theta[140]",1.38517991847394,0.20061161186364
"theta[141]",-2.12673348069122,0.2050698838662
"theta[142]",1.32141218878091,0.198311240509128
"theta[143]",0.0543270419543417,0.112327184270254
"theta[144]",-0.0854709467180611,0.109412401122101
"theta[145]",-0.2529561879443,0.106177725208161
"theta[146]",-2.64389645240819,0.282308613925686
"theta[147]",-0.00816833346204992,0.10794275225461
"theta[148]",1.52693636669453,0.214958538666646
"theta[149]",-0.448533395829864,0.106402308707544
"theta[150]",-0.718161537523556,0.110543372358679
"theta[151]",-2.2561209500714,0.217535744112209
"theta[152]",0.965745652282276,0.156094152695817
"theta[153]",-0.435210970847237,0.108868860268999
"theta[154]",-0.432753685949162,0.105837128398432
"theta[155]",-1.35658420102116,0.136271444658072
"theta[156]",0.424262124886973,0.122238487899428
"theta[157]",0.264816127127068,0.116802310854615
"theta[158]",1.03205376388347,0.161676636845679
"theta[159]",-1.96866673731577,0.189672653841347
"theta[160]",0.213271339835787,0.11783159005372
"theta[161]",0.141956472750592,0.111066746031754
"theta[162]",0.507535099211691,0.120574962231516
"theta[163]",0.652536090614772,0.134426049639073
"theta[164]",-1.53265253713727,0.145635417421647
"theta[165]",-0.619189963589312,0.10997107369992
"theta[166]",-0.927128173799302,0.116023623275252
"theta[167]",0.402000940599431,0.122419465779833
"theta[168]",-0.374488632490306,0.105410507832929
"theta[169]",0.997102980850234,0.159263410899851
